SUCD2_u6m,0.82
FBP,0.175
RPI,0.064
GND,-0.0
GAPD,-0.406
FUM,0.062
FUMm,0.82
RPE,-0.064
PGL,0.0
ITCOALm,0.0
y001022,0.82
ICDHxm,2.31
SBP,0.0
ACONTa,97.42
y000280,2.31
ACONTb,97.42
y000302,2.31
PGK,-0.406
PFK,0.0
PFK_3,0.0
,
MDHm,0.334
y000715,-0.0
y000507,0.0
THFATm,0.0
y300045,0.0
y000509,0.0
y000831,0.82
y000501,0.019
y000505,0.82
GCCcm,0.0
GCCam,0.0
PDHm,0.06
y300052,0.0
y300044,0.0
y000832,0.82
y300046,0.0
GCC2am,0.0
y000301,0.0
CSm,0.0
MCITSm,0.0
TKT2,-0.056
TKT1,-0.008
MDH,0.263
FBA3,0.0
FBA2,0.0
FBA,-0.175
TPI,-0.18
PGI,-0.051
PYK,0.0
TALA,-0.008
ENO,-0.53
